v_init,throttle,steer,pitch,roll,a_measured,omega_z_measured
-4.0000,-1.0000,0.0000,35.0000,30.0000,1.737772,0.065217
-4.0000,-1.0000,0.5000,-35.0000,-30.0000,-4.472606,-0.163337
-4.0000,-1.0000,0.5000,-35.0000,-20.0000,-4.198945,-0.137031
-4.0000,-1.0000,0.5000,-35.0000,-10.0000,-3.987674,-0.131773
-4.0000,-1.0000,0.5000,-35.0000,0.0000,-3.741205,-0.150965
-4.0000,-1.0000,0.5000,-35.0000,10.0000,-3.252887,-0.207479
-4.0000,-1.0000,0.5000,-35.0000,20.0000,-2.143605,-0.301375
-4.0000,-1.0000,0.5000,-35.0000,30.0000,-0.520802,-0.383220
-4.0000,-1.0000,0.5000,-30.0000,-30.0000,-3.872907,-0.161754
-4.0000,-1.0000,0.5000,-30.0000,-20.0000,-3.568879,-0.127410
-4.0000,-1.0000,0.5000,-30.0000,-10.0000,-3.362206,-0.117397
-4.0000,-1.0000,0.5000,-30.0000,0.0000,-3.150390,-0.131608
-4.0000,-1.0000,0.5000,-30.0000,10.0000,-2.743677,-0.184881
-4.0000,-1.0000,0.5000,-30.0000,20.0000,-1.695399,-0.288997
-4.0000,-1.0000,0.5000,-30.0000,30.0000,-0.023810,-0.382153
-4.0000,-1.0000,0.5000,-20.0000,-30.0000,-2.588971,-0.169015
-4.0000,-1.0000,0.5000,-20.0000,-20.0000,-2.185264,-0.111244
-4.0000,-1.0000,0.5000,-20.0000,-10.0000,-1.981356,-0.092436
-4.0000,-1.0000,0.5000,-20.0000,0.0000,-1.817302,-0.097738
-4.0000,-1.0000,0.5000,-20.0000,10.0000,-1.548378,-0.138980
-4.0000,-1.0000,0.5000,-20.0000,20.0000,-0.662148,-0.264420
-4.0000,-1.0000,0.5000,-20.0000,30.0000,1.029394,-0.382507
-4.0000,-1.0000,0.5000,-10.0000,-30.0000,-1.261962,-0.193253
-4.0000,-1.0000,0.5000,-10.0000,-20.0000,-0.709240,-0.101580
-4.0000,-1.0000,0.5000,-10.0000,-10.0000,-0.491226,-0.069469
-4.0000,-1.0000,0.5000,-10.0000,0.0000,-0.363642,-0.068273
-4.0000,-1.0000,0.5000,-10.0000,10.0000,-0.184094,-0.096077
